false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,2.4852438645542095e-05,0.9998401095601963
0.0,3.727865796831314e-05,0.9998395608856968
0.0,6.213109661385524e-05,0.9998272727914882
0.0,7.455731593662628e-05,0.9998240828510009
0.0,0.00014911463187325256,0.9998132079346468
0.0,0.0001863932898415657,0.9998109791934212
0.0,0.00022367194780987883,0.9998059684497851
0.0,0.00024852438645542096,0.9998003711659387
0.0,0.00026095060577819196,0.9997919035929435
0.0,0.0003479341410375893,0.9997840775678717
0.0,0.0003727865796831314,0.9997770384764019
0.0,0.0003976390183286735,0.9997723086156782
0.0,0.00041006523765144457,0.9997685995331758
0.0,0.0004349176762969866,0.9997683532550933
0.0,0.00044734389561975767,0.9997627732261684
0.0,0.00047219633426529977,0.9997555164863852
0.0,0.0005219012115563839,0.999750328592721
0.0,0.000534327430879155,0.9997499364574604
0.0,0.0005591798695246971,0.9997454069901286
0.0,0.0005716060888474681,0.9997452414698661
0.0,0.0005964585274930102,0.9997430802817573
0.0,0.0006088847468157813,0.9997416979076261
0.0,0.0006585896241068655,0.9997392228883182
0.0,0.0006834420627524076,0.9997374918240126
0.0,0.0007082945013979497,0.9997184672211143
0.0,0.0007331469400434918,0.9997152839885944
0.0,0.0007704255980118049,0.9997139499149822
0.0,0.0008201304753028891,0.9997007006215118
0.0,0.0008574091332712022,0.9996989903905275
0.0,0.0008822615719167443,0.9996970055526863
0.0,0.0008946877912395153,0.9996926455732789
0.0,0.0009319664492078285,0.9996880105785428
0.0,0.001031376203789997,0.9996719706182994
0.0,0.00106865486175831,0.9996701039271367
0.0,0.001093507300403852,0.9996661558407112
0.0,0.0011183597390493941,0.9996624352287897
0.0,0.0011307859583721653,0.9996611089529932
0.0,0.0011556383970177074,0.9996572671584286
0.0,0.0011680646163404783,0.9996467777399022
0.0,0.0012177694936315625,0.9996428402515243
0.0,0.0012923268095681889,0.9996409735603616
0.0,0.00130475302889096,0.9996341731605554
0.0,0.0013544579061820442,0.9996319318394892
0.0,0.001379310344827586,0.999630178124335
0.0,0.0014041627834731282,0.9996281367916535
0.0,0.0014414414414414415,0.999622565406023
0.0,0.0014662938800869836,0.999620055568544
0.0,0.0014787200994097545,0.9996166821288323
0.0,0.001565703634669152,0.9996159386259746
0.0,0.001590556073314694,0.9996146694320962
0.0,0.0016526871699285492,0.9996011037937594
0.0,0.0016775396085740913,0.9995999762742472
0.0,0.0017520969245107176,0.9995748324492911
0.0,0.0017769493631562597,0.9995744684531122
0.0,0.0018390804597701149,0.9995618041865997
0.0,0.001863932898415657,0.9995607709556144
0.0,0.0019633426529978254,0.9995278337877554
0.0,0.0019881950916433677,0.9995214843458539
0.0,0.0025722273998136065,0.999274186643202
0.0,0.002597079838459149,0.9992727978747041
0.0,0.0027089158123640884,0.999246093666676
0.0,0.0027337682510096303,0.9992450476706125
0.0,0.002957440198819509,0.9992036291170296
0.0,0.0029822926374650513,0.9992029790125981
0.0,0.0030071450761105932,0.9992007502713726
0.0,0.0030319975147561355,0.9991959247383572
0.0,0.003118981050015533,0.9991747024033161
0.0,0.0031438334886610747,0.999173848645823
0.0,0.003156259707983846,0.9991678586911705
0.0,0.003181112146629388,0.9991655994254554
0.0,0.003193538365952159,0.9991614585282426
0.0,0.003218390804597701,0.9991597734080719
0.0,0.0032929481205343273,0.9991419547159339
0.0,0.0033178005591798696,0.9991294299672104
0.0,0.003479341410375893,0.9990908377489828
0.0,0.0035041938490214353,0.9990865440889709
0.0,0.0036408822615719167,0.9990625669648167
0.0,0.0036781609195402297,0.9990574137221958
0.0,0.0038645542093817954,0.9990156942055741
0.0,0.0038894066480273377,0.9990148267195983
0.0,0.004063373718546133,0.9989720807577193
0.0,0.004088226157191674,0.9989608393881219
0.0,0.004461012736874805,0.9988639783024961
0.0,0.004485865175520348,0.9988599362284735
0.0,0.00462255358807083,0.9988210217444844
0.0,0.004647406026716372,0.9988175370843027
0.0,0.005082323703013358,0.998687618228028
0.0,0.0051071761416589005,0.9986861709149264
0.0,0.00521901211556384,0.9986526103131568
0.0,0.0052438645542093815,0.9986507557793989
0.0,0.005517241379310344,0.9986027747654629
0.0,0.005542093817955887,0.9986015829450849
0.0,0.005554520037278658,0.9985923897677929
0.0,0.0056042249145697425,0.9985909593409668
0.0,0.005728487107797452,0.9985608154095316
0.0,0.005778191985088537,0.9985532472894323
0.0,0.006237962100031066,0.9984060824759711
0.0,0.006262814538676608,0.9984030689560826
0.0,0.006672879776328052,0.9982862621811174
0.0,0.006710158434296365,0.9982794719788664
0.0,0.006784715750232991,0.9982657041892967
0.0,0.006809568188878534,0.9982632792351207
0.0,0.007269338303821062,0.9981532929395214
0.0,0.007306616961789376,0.9981522980194113
0.0,0.007343895619757688,0.9981458044278849
0.0,0.007368748058403231,0.9981436925474716
0.0,0.007443305374339857,0.9981303107557287
0.0,0.007468157812985399,0.9981232473578217
0.0,0.00782851817334576,0.9980112696852836
0.0,0.007853370611991302,0.9980075920442456
0.0,0.008052190121155638,0.9979511313879985
0.0,0.00807704255980118,0.9979471709363813
0.0,0.008139173656415036,0.9979270810818208
0.0,0.008164026095060577,0.9979250188511053
0.0,0.008238583410997204,0.9978978884206154
0.0,0.008263435849642746,0.997896024405949
0.0,0.00830071450761106,0.9978935254733876
0.0,0.008325566946256602,0.9978897339922932
0.0,0.008362845604224914,0.9978845407214674
0.0,0.008474681578129854,0.9978679098622344
0.0,0.008499534016775397,0.9978648847388416
0.0,0.008586517552034793,0.9978383995489923
0.0,0.008636222429325878,0.9978379831132921
