IATA,Latitude,Longitude
,41.420312,-81.599552
,36.041259,-96.161517
,35.012334,-97.702735
,45.85540009,-117.4840012
,40.16289902,-75.46569824
,41.066861,-76.180806
,39.065931,-94.938417
,45.401629,-122.228771
,33.86500168,-78.66190338
,27.490812,-98.669615
,35.92250061,-83.57939911
,31.4658,-100.43397
,29.632117,-95.932481
,29.580929,-95.30508
,37.114384,-109.99014
,47.40819931,-117.3720016
,45.875,-120.6699982
,48.524894,-122.912394
,31.7574,-106.346895
,31.31809998,-100.7539978
,60.535833,-150.811387
,33.62639999,-85.96720123
,61.737511,-148.700724
,34.574319,-92.586047
,34.566631,-117.670666
,33.08169937,-116.4410019
,41.75510025,-73.05239868
,25.55870056,-80.51509857
,27.929372,-82.336981
,29.240353,-81.222525
,33.832365,-83.562335
,39.91151,-83.188577
,41.0882988,-92.05460358
,43.877015,-116.538365
,40.63750076,-89.00700378
,41.701389,-85.113056
,40.17860031,-88.56900024
,37.13510132,-85.78939819
,30.051001,-90.703848
,30.44610023,-91.1053009
,42.810908,-71.140959
,39.51810074,-75.8214035
,44.66669846,-69.89389801
,42.53450012,-84.62830353
,47.9858017,-94.68689728
,32.940537,-90.836683
,47.13749778,-106.488095
,35.73920059,-78.78220367
,41.15999985,-101.2990036
,39.59680176,-75.23349762
,34.775671,-77.392244
,35.75550079,-115.6650009
,42.26229858,-73.69619751
,45.530833,-123.085556
,36.11529922,-97.07949829
,44.74990082,-120.2009964
,39.87929916,-75.22879791
,40.0306619,-75.63021
,34.842188,-82.60714
,44.993013,-101.24311
,29.699687,-95.39069
,36.18330002,-82.67890167
,30.553284,-97.605358
,29.713072,-99.545642
,31.732779,-97.369326
,37.006689,-110.794701
,38.099083,-106.174389
,36.898246,-82.078477
,37.706546,-77.201621
,44.40110016,-72.26360321
,46.0228,-92.895401
,47.581795,-117.437131
,42.52339935,-88.01670074
,46.95835,-119.63864
,39.65361111,-79.95611111
,33.283933,-98.402861
,61.66830063,-149.1880035
,31.23119926,-85.64969635
,64.960472,-147.601092
,36.000633,-93.57025
,32.683452,-114.634346
,47.158901,-67.931999
,34.136516,-118.714685
,38.6106987,-122.3909988
,40.214984,-104.984423
,41.77370071,-73.11620331
,30.91889954,-86.21829987
,25.96089935,-80.1391983
,26.52018,-81.41031
,32.07139969,-84.71440125
,43.13750076,-93.06829834
,45.914101,-114.835999
,41.15670013,-88.01670074
,39.64199829,-86.5042038
,39.72589874,-89.26399994
,37.26620102,-95.959198
,38.187091,-84.93011
,37.53575,-84.407303
,32.265301,-91.6978
,41.749228,-87.935783
,31.252148,-92.47569
,34.71979,-97.214237
,42.69120026,-70.91230011
,39.244232,-76.198661
,44.6570015,-67.55919647
,42.236433,-83.276421
,47.5175001,-92.2302778
,32.32973,-90.16273
,45.815368,-111.152163
,41.72219849,-98.30899811
,42.9239006,-70.95140076
,40.713385,-74.03203
,36.168415,-79.276908
,39.0311,-114.088219
,43.55199814,-76.09020233
,44.059531,-123.118951
,40.184513,-81.920564
,41.28839874,-81.96260071
,45.44428,-117.34722
,39.9548,-75.178201
,40.30009842,-76.85800171
,40.143075,-77.86221
,45.85150146,-123.2419968
,29.8090992,-96.26509857
,30.7220993,-97.79139709
,33.12929916,-97.3585968
,32.128974,-97.404582
,37.411098,-105.552002
,37.2242012,-78.41860199
,45.01330185,-73.08670044
,47.64820099,-117.4140015
,42.65110016,-88.74590302
,48.702222,-118.0475
,35.863631,-101.970944
,33.079498,-91.561391
,46.303799,-95.439499
,60.540256,-150.813827
,61.627619,-149.575331
,31.38839912,-85.97239685
,35.54449844,-92.18489838
,33.287759,-111.751454
,44.907001,-68.805
,34.868942,-116.832024
,34.15732,-118.2888
,37.385754,-103.691482
,26.90839958,-80.3289032
,28.64170074,-81.88500214
,27.953527,-82.806222
,33.7533989,-84.16210175
,38.4333992,-86.69110107
,41.84140015,-91.83429718
,43.46269989,-116.3590012
,41.59949875,-88.86990356
,40.54639816,-91.27429962
,37.69580078,-97.37249756
,29.84606,-90.03216
,30.70789909,-91.32019806
,42.69060135,-71.60900116
,39.291401,-76.546303
,44.415247,-70.844275
,42.251025,-84.391319
,39.23059845,-94.80439758
,48.558696,-112.117095
,41.431999,-74.391602
,34.82749939,-78.93029785
,46.74890137,-101.6689987
,40.68000031,-95.86170197
,42.92839813,-70.97309875
,39.098333,-114.150277
,42.836797,-76.437614
,41.1147995,-80.65699768
,41.50979996,-80.59120178
,39.73479843,-84.38220215
,36.54169846,-94.83360291
,45.46509933,-123.0800018
,41.995792,-78.288152
,40.382733,-76.772533
,40.402302,-79.921303
,30.90850067,-97.11689758
,30.31270027,-95.02690125
,35.696962,-86.957767
,30.860024,-100.201996
,30.057919,-95.812489
,38.24900055,-78.8553009
,47.68629837,-117.197998
,46.92499924,-122.5530014
,33.445914,-96.57079
,33.322933,-97.045019
,45.83000183,-96.16059875
,61.695964,-149.954903
,31.12520027,-85.97910309
,62.825556,-149.910807
,35.194339,-92.802473
,44.44800186,-68.56970215
,39.49769974,-121.7710037
,39.2635994,-104.427002
OCA,25.325399,-80.274803
,33.674263,-83.764637
,31.555662,-83.27849
,39.05870056,-86.44609833
,40.647888,-95.02135
,39.01060104,-85.64080048
,39.57369995,-85.91390228
,41.11259842,-98.05169678
,37.73419952,-96.93669891
,38.08060074,-85.69329834
,32.51825,-91.989093
,41.91699982,-70.70950317
,39.60829926,-77.05190277
,43.73830032,-70.33920288
,43.86420059,-85.02390289
,44.05500031,-95.90950012
,38.655553,-93.624458
,48.421101,-106.528
,40.0168,-77.003899
,34.83319855,-80.75119781
,43.17559814,-72.06390381
,40.793666,-73.994863
,39.102239,-114.053472
,42.66640091,-74.76499939
,34.63339996,-99.03369904
,45.42179871,-122.6200027
,40.998889,-78.125278
,18.489403,-67.026333
,29.240519,-95.344658
,27.721288,-97.51217
,30.625381,-97.571425
,33.20998,-96.46039
,41.716667,-112.447222
,36.81959915,-78.78309631
,44.44720078,-72.91470337
,47.651637,-117.424477
,44.960084,-106.105925
,29.906488,-97.214397
,32.54219818,-97.39170074
,46.95550156,-93.59690094
,61.568743,-149.725757
,30.243717,-87.754678
,61.704295,-149.212506
,33.417669,-111.838835
,44,-69.88710022
,38.695211,-120.826086
,37.858272,-120.552079
,36.172031,-119.306181
,38.73249817,-104.0410004
,41.89599991,-73.0931015
,34.53179932,-96.23310089
